Timestamp,Level of effort instructor put into the course [Level of effort instructor put into the course],Contribution of course to your skill/knowledge [Contribution of course to your skill/knowledge],Skill and responsiveness of the instructor [Instructor was an effective lecturer/demonstrator],Skill and responsiveness of the instructor [Presentations were clear and organized],Skill and responsiveness of the instructor [Instructor stimulated student interest],Skill and responsiveness of the instructor [Instructor effectively used time during class periods],Skill and responsiveness of the instructor [Instructor was available and helpful],Skill and responsiveness of the instructor [Grading was prompt and had useful feedback],Course content [Learning objectives were clear],Course content [Course content was organized and well planned],Course content [Course workload was appropriate],Course content [Course organized to allow all students to participate fully],How would you rate the overall course?,What aspects of this course were most useful or valuable?,How would you improve this course?,Any other comments
7/17/2025 15:43:57,,3.0,5,5,5,5,5,5,5,5,5,5,4,,,
7/17/2025 15:44:31,,3.0,5,5,5,5,5,5,5,5,5,5,4,Most usful,By conducting more hands on session,Good faculty
7/17/2025 15:44:47,5.0,5.0,5,5,5,5,5,5,5,5,5,5,3,Machine learning techniques,,
7/17/2025 15:45:22,5.0,5.0,5,5,5,5,5,5,5,5,5,5,4,came to know about data science from scratch ,with more hands-on,overall satisfied with the content delivery
7/17/2025 15:45:25,,,4,4,4,4,5,5,4,4,4,4,3,Machine Learning,,
7/17/2025 15:45:51,5.0,5.0,5,5,5,5,5,5,5,5,5,5,4,Data Science and Machine learning types,Through more Practical Applications,Very Interesting Subject learned a lot and gained knowledge on machine learning
7/17/2025 15:45:57,5.0,,5,4,5,4,5,5,4,3,4,4,3,,more examples,
7/17/2025 15:46:15,5.0,5.0,5,5,5,5,5,5,5,5,5,5,4,Learning ML,By learning ML,NIL
7/17/2025 15:46:58,5.0,,5,5,5,5,5,5,5,5,5,5,4,"Machine learning, Data visualization using Tableau software",May be few practical case studies if referred then it will create further interest to all,"You are just an awesome teacher Wahid sir, Thanks for everything"
7/17/2025 15:47:38,5.0,5.0,5,5,5,5,5,5,5,5,5,5,4,Linear Regression and knowing the basics of Data Science and its difference with Al and ML,,
7/17/2025 15:47:54,5.0,,5,5,4,5,4,4,5,4,4,4,4,data science we got some insight,more practical and hands on session,
